theme_id,permanent_id,symbol,valid_from,valid_to,evidence_available_at,exposure_tier,confidence,listing_date,delisting_date,evidence_source,evidence_reference,historical_data_status,data_coverage_from,data_coverage_to,notes
solar,ticker:fslr,FSLR,2018-01-01,,2018-01-01,core,0.95,2006-11-17,,catalog:curated,https://www.nasdaq.com/market-activity/stocks/fslr/historical,partial,2018-01-01,2026-08-30,
solar,ticker:enph,ENPH,2018-01-01,,2018-01-01,core,0.95,2012-03-30,,catalog:curated,https://www.nasdaq.com/market-activity/stocks/enph/historical,partial,2018-01-01,2026-08-30,
solar,ticker:sedg,SEDG,2018-01-01,,2018-01-01,core,0.90,2015-03-26,,company_ir,https://investors.solaredge.com/news-releases/news-release-details/solareedge-technologies-inc-announces-launch-its-initial-public,partial,2018-01-01,2026-08-30,
solar,ticker:run,RUN,2018-01-01,,2018-01-01,core,0.90,2015-08-05,,catalog:curated,https://www.nasdaq.com/market-activity/stocks/run/historical,partial,2018-01-01,2026-08-30,
solar,ticker:nova,NOVA,2019-07-25,,2019-07-25,adjacent,0.75,2019-07-25,,company_ir,https://investors.sunnova.com/news-events-and-presentations/news-details/2019/Sunnova-Announces-Pricing-of-Initial-Public-Offering/default.aspx,partial,2019-07-25,2026-08-30,
solar,ticker:jks,JKS,2018-01-01,,2018-01-01,adjacent,0.80,2010-05-14,,sec_edgar,https://www.sec.gov/Archives/edgar/data/1481513/000119312510120053/d424b4.htm,partial,2018-01-01,2026-08-30,
solar,ticker:csiq,CSIQ,2018-01-01,,2018-01-01,adjacent,0.80,2006-11-09,,catalog:curated,https://www.nasdaq.com/market-activity/stocks/csiq/historical,partial,2018-01-01,2026-08-30,
quantum_computing,ticker:ionq,IONQ,2021-10-01,,2021-10-01,core,0.90,2021-10-01,,company_ir,https://www.ionq.com/news/october-01-2021-ionq-listed-on-nyse,partial,2021-10-01,2026-08-30,
quantum_computing,ticker:rgti,RGTI,2022-03-02,,2022-03-02,core,0.85,2022-03-02,,sec_edgar,https://www.sec.gov/Archives/edgar/data/1838359/000119312522067932/d506107d8k.htm,partial,2022-03-02,2026-08-30,
quantum_computing,ticker:qubt,QUBT,2021-07-15,,2021-07-15,core,0.80,2021-07-15,,company_ir,https://quantumcomputinginc.com/news/press-releases/archive/quantum-computing-inc.-lists-on-nasdaq-capital-market,partial,2021-07-15,2026-08-30,
quantum_computing,ticker:qbts,QBTS,2022-08-08,,2022-08-08,core,0.85,2022-08-08,,company_ir,https://www.dwavequantum.com/company/newsroom/press-release/dpcm-capital-inc-and-d-wave-systems-inc-announce-completion-of-business-combination/,partial,2022-08-08,2026-08-30,
evtol,ticker:achr,ACHR,2021-09-17,,2021-09-17,core,0.90,2021-09-17,,sec_edgar,https://www.sec.gov/Archives/edgar/data/1824502/000110465921118389/tm2128079d4_8k.htm,partial,2021-09-17,2026-08-30,
evtol,ticker:joby,JOBY,2021-08-11,,2021-08-11,core,0.90,2021-08-11,,company_ir,https://ir.jobyaviation.com/news-events/press-releases/detail/16/joby-aviation-announces-closing-of-business-combination,partial,2021-08-11,2026-08-30,
evtol,ticker:evtl,EVTL,2021-12-16,,2021-12-16,adjacent,0.75,2021-12-16,,sec_edgar,https://www.sec.gov/Archives/edgar/data/1867102/000110465921150591/tm2134915d2_ex99-1.htm,partial,2021-12-16,2026-08-30,
evtol,ticker:evex,EVEX,2022-05-10,,2022-05-10,adjacent,0.75,2022-05-10,,company_ir,https://ir.eveairmobility.com/news-events/press-releases/detail/8/eve-holding-inc-begins-trading-today-on-the-new-york,partial,2022-05-10,2026-08-30,
evtol,ticker:eh,EH,2019-12-12,,2019-12-12,adjacent,0.70,2019-12-12,,sec_edgar,https://www.sec.gov/Archives/edgar/data/1759783/000119312519312625/d515413d424b4.htm,partial,2019-12-12,2026-08-30,Historical eVTOL exposure; classification is adjacent and coverage may include gaps.
evtol,ticker:lilm,LILM,2021-09-15,2024-11-06,2021-09-15,core,0.85,2021-09-15,2025-03-31,sec_edgar,https://www.sec.gov/Archives/edgar/data/1855756/000110465924112073/tm2427014d1_6k.htm,partial_delisted,2021-09-15,2024-11-05,"LILM retained for historical recovery and delisting stress. Nasdaq suspension was scheduled at the opening of 2024-11-06; this is the first non-tradable boundary. Form 25 was filed 2025-03-21 and delisting became effective ten days later (2025-03-31); see https://www.sec.gov/Archives/edgar/data/1354457/000135445725000225/xslF25X02/primary_doc.xml. No fabricated post-suspension rows are added."
broad_market,ticker:spy,SPY,2018-01-01,,2018-01-01,negative_control,1.0,1993-01-29,,catalog:benchmark,https://www.nasdaq.com/market-activity/etf/spy/historical,complete,2018-01-01,2026-08-30,Negative control only; not a thematic constituent.
traditional_oil,ticker:xle,XLE,2018-01-01,,2018-01-01,negative_control,1.0,1998-12-16,,catalog:benchmark,https://www.nasdaq.com/market-activity/etf/xle/historical,complete,2018-01-01,2026-08-30,Negative control only; broad sector benchmark.
consumer_staples,ticker:xlp,XLP,2018-01-01,,2018-01-01,negative_control,1.0,1998-12-16,,catalog:benchmark,https://www.nasdaq.com/market-activity/etf/xlp/historical,complete,2018-01-01,2026-08-30,Negative control only; broad sector benchmark.
